price_amount,makeid,manufacturerprice,km,vehicleyear,etiqueta_type_id,provinceid,horsepower,maxspeed,acceleration,combustible_type_id,body_type_id,transmision_type_id,doors,seatingcapacity,colores_type_id,dimensionsinmillimeterswidth,dimensionsinmillimetersheight,dimensionsinmillimeterslength,weight,tankcapacityinliters,trunkcapacityinliters,consumptionurban,consumptionmixed,consumptionextraurban,co2emissionsgramsperkm,batteryvoltage,batterykwh,chargingtime,chargingtimefast
18000.0,105.0,38012.0,28000.0,2017.0,5.0,29.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.6,341.0,3.1599999999999997,1.1,2.98,46.8,323.0,35.8,1020.0,45.0
15990.0,105.0,38012.0,59000.0,2017.0,5.0,38.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,28.2,341.0,2.46,1.2399999999999998,2.98,26.6,323.0,35.8,1020.0,45.0
15990.0,105.0,38012.0,59000.0,2017.0,5.0,35.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,28.2,341.0,2.46,1.2399999999999998,2.98,26.6,323.0,35.8,1020.0,45.0
24990.0,105.0,48658.0,87070.0,2019.0,4.0,28.0,218.0,191.0,9.780000000000001,5.0,1.0,1.0,4.0,5.0,6.0,1832.0,1483.0,4775.0,1730.0,50.0,586.0,2.46,1.8,2.98,36.0,353.0,9.9,351.0,28.0
24990.0,105.0,48658.0,87070.0,2019.0,4.0,8.0,218.0,191.0,9.780000000000001,5.0,1.0,1.0,4.0,5.0,6.0,1832.0,1483.0,4775.0,1730.0,50.0,586.0,2.46,1.8,2.98,36.0,353.0,9.9,351.0,28.0
21200.0,105.0,46532.0,80281.0,2018.0,5.0,8.0,218.0,225.0,7.4,5.0,1.0,1.0,4.0,5.0,2.0,1832.0,1476.0,4767.0,1722.0,50.0,402.0,2.46,1.8,2.98,40.0,353.0,9.9,255.0,38.0
19990.0,105.0,38012.0,39000.0,2017.0,4.0,11.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.2,341.0,3.04,1.2600000000000002,2.98,41.2,323.0,35.8,1020.0,45.0
19950.0,72.0,34200.0,41000.0,2021.0,4.0,28.0,184.0,150.0,7.3,3.0,1.0,1.0,3.0,4.0,12.0,1727.0,1432.0,3850.0,1440.0,38.6,211.0,2.54,1.08,2.98,30.2,35.0,32.6,720.0,36.0
19950.0,72.0,34200.0,41000.0,2021.0,4.0,8.0,184.0,150.0,7.3,3.0,1.0,1.0,3.0,4.0,12.0,1727.0,1432.0,3850.0,1440.0,38.6,211.0,2.54,1.08,2.98,30.2,35.0,32.6,720.0,36.0
19950.0,72.0,34200.0,41000.0,2021.0,4.0,46.0,184.0,150.0,7.3,3.0,1.0,1.0,3.0,4.0,12.0,1727.0,1432.0,3850.0,1440.0,38.6,211.0,2.54,1.08,2.98,30.2,35.0,32.6,720.0,36.0
19950.0,72.0,34200.0,41000.0,2021.0,4.0,41.0,184.0,150.0,7.3,3.0,1.0,1.0,3.0,4.0,12.0,1727.0,1432.0,3850.0,1440.0,38.6,211.0,2.54,1.08,2.98,30.2,35.0,32.6,720.0,36.0
20950.0,105.0,38012.0,21676.0,2017.0,4.0,41.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,33.6,341.0,3.16,1.0,3.4,30.2,323.0,35.8,1020.0,45.0
21900.0,105.0,40250.0,99000.0,2017.0,4.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,2.46,1.3199999999999998,2.72,38.0,352.0,8.7,210.0,150.0
22990.0,105.0,40250.0,99500.0,2017.0,5.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,2.46,1.3199999999999998,2.72,38.0,352.0,8.7,210.0,150.0
24100.0,10.0,36705.0,70630.0,2020.0,4.0,8.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,9.0,1785.0,1426.0,4311.0,1630.0,40.0,280.0,2.46,1.6400000000000001,2.98,43.0,208.0,13.0,225.0,33.6
23990.0,105.0,38012.0,58961.0,2017.0,5.0,8.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.4,341.0,2.54,1.3199999999999998,2.98,46.8,323.0,35.8,1020.0,45.0
16900.0,105.0,38012.0,31008.0,2017.0,5.0,7.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.4,341.0,3.16,1.1,2.98,46.8,323.0,35.8,1020.0,45.0
23995.0,72.0,34200.0,83046.0,2021.0,4.0,28.0,184.0,150.0,7.3,3.0,1.0,1.0,3.0,4.0,12.0,1727.0,1432.0,3850.0,1440.0,43.4,211.0,2.46,1.3800000000000001,2.72,27.2,35.0,32.6,720.0,36.0
22750.0,105.0,38012.0,46934.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,39.2,341.0,2.54,1.2600000000000002,2.98,34.4,323.0,35.8,1020.0,45.0
24990.0,105.0,42480.0,29000.0,2021.0,4.0,28.0,245.0,225.0,6.7,5.0,1.0,1.0,5.0,5.0,4.0,1789.0,1484.0,4287.0,1624.0,40.0,273.0,3.28,0.9,3.4,40.0,363.8,13.0,300.0,38.0
19950.0,105.0,38012.0,57000.0,2017.0,4.0,49.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,25.4,341.0,2.46,0.9400000000000001,2.98,31.2,323.0,35.8,1020.0,45.0
22750.0,105.0,38012.0,46934.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,39.2,341.0,2.54,1.2600000000000002,2.98,34.4,323.0,35.8,1020.0,45.0
14990.0,22.0,35720.0,34700.0,2018.0,5.0,41.0,67.0,110.0,8.5,3.0,8.0,1.0,5.0,5.0,2.0,1810.0,1822.0,4380.0,1374.0,38.4,387.0,3.04,1.1,2.98,34.8,3.0,22.5,510.0,30.0
17990.0,105.0,38012.0,60000.0,2017.0,5.0,25.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,32.2,341.0,2.46,1.2600000000000002,2.98,34.4,323.0,35.8,1020.0,45.0
